stamp,session,status,lat,lon,alt,cov_xx,cov_yy,cov_zz,x,y,z
1785472088.999729633,20260731_132539,2,36.843366300,128.093700100,297.2260,0.000225,0.000225,0.000784,101.2844,-23.0166,0.0000
1785472089.999729633,20260731_132539,2,36.843373800,128.093690600,297.1820,0.000256,0.000256,0.001024,100.4370,-22.1843,0.0000
1785472090.999729395,20260731_132539,2,36.843383400,128.093684200,297.1520,0.000361,0.000361,0.001369,99.8661,-21.1189,0.0000
1785472091.999729395,20260731_132539,2,36.843392100,128.093678500,297.1310,0.000441,0.000441,0.001521,99.3577,-20.1534,0.0000
1785472092.999729395,20260731_132539,2,36.843399900,128.093672400,297.1150,0.000400,0.000400,0.001444,98.8136,-19.2877,0.0000
1785472093.999729395,20260731_132539,2,36.843409100,128.093665400,297.0550,0.000441,0.000441,0.001681,98.1892,-18.2667,0.0000
1785472094.999729395,20260731_132539,2,36.843419700,128.093657100,297.0310,0.000289,0.000289,0.001024,97.4488,-17.0903,0.0000
1785472095.999729395,20260731_132539,2,36.843430700,128.093648300,296.9820,0.000225,0.000225,0.000900,96.6639,-15.8696,0.0000
1785472096.999729156,20260731_132539,2,36.843441100,128.093639500,296.9840,0.000225,0.000225,0.000841,95.8789,-14.7154,0.0000
1785472097.999729156,20260731_132539,2,36.843453000,128.093629400,296.9620,0.000256,0.000256,0.000961,94.9780,-13.3947,0.0000
1785472098.999729156,20260731_132539,2,36.843464700,128.093619300,296.9560,0.000256,0.000256,0.001089,94.0771,-12.0963,0.0000
1785472099.999729156,20260731_132539,2,36.843476000,128.093609500,296.9520,0.000256,0.000256,0.000961,93.2029,-10.8422,0.0000
1785472100.999729156,20260731_132539,2,36.843487300,128.093599400,296.9280,0.000225,0.000225,0.000729,92.3020,-9.5882,0.0000
1785472101.999729156,20260731_132539,2,36.843498800,128.093589000,296.9080,0.000324,0.000324,0.001444,91.3743,-8.3119,0.0000
1785472102.999728918,20260731_132539,2,36.843509200,128.093578600,296.8880,0.000400,0.000400,0.001521,90.4467,-7.1577,0.0000
1785472103.999728918,20260731_132539,2,36.843514400,128.093567300,296.9070,0.000361,0.000361,0.001444,89.4387,-6.5806,0.0000
1785472104.999728918,20260731_132539,2,36.843514500,128.093553600,296.8690,0.000324,0.000324,0.001089,88.2167,-6.5696,0.0000
1785472105.999728918,20260731_132539,2,36.843513700,128.093537200,296.8960,0.000256,0.000256,0.000961,86.7539,-6.6584,0.0000
1785472106.999728918,20260731_132539,2,36.843512800,128.093520700,296.9000,0.000225,0.000225,0.000841,85.2821,-6.7582,0.0000
1785472107.999728680,20260731_132539,2,36.843511900,128.093504400,296.9130,0.000225,0.000225,0.000900,83.8282,-6.8581,0.0000
1785472108.999728680,20260731_132539,2,36.843510700,128.093488300,296.9560,0.000324,0.000324,0.001369,82.3921,-6.9913,0.0000
1785472109.999728680,20260731_132539,2,36.843509200,128.093472900,296.9540,0.000361,0.000361,0.001600,81.0185,-7.1578,0.0000
1785472110.999728680,20260731_132539,2,36.843507300,128.093458100,296.9510,0.000256,0.000256,0.000900,79.6983,-7.3687,0.0000
1785472111.999728680,20260731_132539,2,36.843505000,128.093443000,297.0000,0.000225,0.000225,0.000900,78.3514,-7.6240,0.0000
1785472112.999728441,20260731_132539,2,36.843502800,128.093427100,297.0840,0.000225,0.000225,0.000784,76.9332,-7.8681,0.0000
1785472113.999728441,20260731_132539,2,36.843500800,128.093411700,297.1270,0.000225,0.000225,0.000784,75.5596,-8.0901,0.0000
1785472114.999728441,20260731_132539,2,36.843499000,128.093395000,297.1970,0.000324,0.000324,0.001089,74.0700,-8.2899,0.0000
1785472115.999728441,20260731_132539,2,36.843497400,128.093378700,297.2190,0.000324,0.000324,0.001024,72.6160,-8.4675,0.0000
1785472116.999728441,20260731_132539,2,36.843495500,128.093362700,297.2410,0.000625,0.000625,0.001849,71.1889,-8.6783,0.0000
1785472117.999728203,20260731_132539,2,36.843493100,128.093346900,297.3420,0.000529,0.000529,0.001600,69.7795,-8.9447,0.0000
1785472118.999728203,20260731_132539,2,36.843490500,128.093331200,297.4360,0.000484,0.000484,0.001681,68.3791,-9.2333,0.0000
1785472119.999728203,20260731_132539,2,36.843486900,128.093316300,297.5130,0.000484,0.000484,0.001764,67.0501,-9.6328,0.0000
1785472120.999728203,20260731_132539,2,36.843483000,128.093301600,297.5760,0.000576,0.000576,0.001936,65.7389,-10.0656,0.0000
1785472121.999728203,20260731_132539,2,36.843478000,128.093287200,297.6740,0.000484,0.000484,0.001764,64.4544,-10.6205,0.0000
1785472122.999728203,20260731_132539,2,36.843471900,128.093272100,297.8320,0.000324,0.000324,0.001024,63.1076,-11.2975,0.0000
1785472123.999727964,20260731_132539,2,36.843465500,128.093257400,297.8240,0.000225,0.000225,0.000784,61.7964,-12.0078,0.0000
1785472124.999727964,20260731_132539,2,36.843459100,128.093242700,297.8090,0.000289,0.000289,0.000961,60.4851,-12.7181,0.0000
1785472125.999727964,20260731_132539,2,36.843452900,128.093228000,297.7760,0.000289,0.000289,0.001024,59.1739,-13.4062,0.0000
1785472126.999727964,20260731_132539,2,36.843446700,128.093213800,297.8000,0.000441,0.000441,0.001600,57.9073,-14.0943,0.0000
1785472127.999727964,20260731_132539,2,36.843440600,128.093200200,297.8000,0.000400,0.000400,0.001600,56.6942,-14.7712,0.0000
1785472128.999727964,20260731_132539,2,36.843434300,128.093186300,297.7850,0.000289,0.000289,0.001156,55.4544,-15.4704,0.0000
1785472129.999727726,20260731_132539,2,36.843427500,128.093171700,297.7930,0.000256,0.000256,0.000961,54.1521,-16.2251,0.0000
1785472130.999727726,20260731_132539,2,36.843420900,128.093157300,297.7900,0.000225,0.000225,0.000729,52.8677,-16.9576,0.0000
1785472131.999727726,20260731_132539,2,36.843414100,128.093143000,297.7990,0.000196,0.000196,0.000625,51.5921,-17.7122,0.0000
1785472132.999727726,20260731_132539,2,36.843407400,128.093128500,297.8170,0.000196,0.000196,0.000625,50.2988,-18.4558,0.0000
1785472133.999727726,20260731_132539,2,36.843400600,128.093114200,297.8390,0.000196,0.000196,0.000576,49.0232,-19.2105,0.0000
1785472134.999727726,20260731_132539,2,36.843393600,128.093099500,297.8290,0.000225,0.000225,0.000900,47.7120,-19.9873,0.0000
1785472135.999727488,20260731_132539,2,36.843386700,128.093084800,297.8320,0.000256,0.000256,0.000961,46.4008,-20.7531,0.0000
1785472136.999727488,20260731_132539,2,36.843380100,128.093069600,297.8240,0.000324,0.000324,0.001444,45.0450,-21.4856,0.0000
1785472137.999727488,20260731_132539,2,36.843373300,128.093054500,297.8260,0.000361,0.000361,0.001369,43.6981,-22.2403,0.0000
1785472138.999727488,20260731_132539,2,36.843366700,128.093039400,297.8550,0.000484,0.000484,0.001849,42.3512,-22.9727,0.0000
1785472139.999727488,20260731_132539,2,36.843359900,128.093024700,297.8740,0.000400,0.000400,0.001444,41.0400,-23.7274,0.0000
1785472140.999727488,20260731_132539,2,36.843353200,128.093009700,297.8760,0.000289,0.000289,0.001156,39.7021,-24.4710,0.0000
1785472141.999727488,20260731_132539,2,36.843346200,128.092994500,297.8690,0.000225,0.000225,0.000900,38.3463,-25.2478,0.0000
