# timestamp[ns] lat[deg] lon[deg] ele[m] lat_stddev[m] lon_stddev[m] ele_stddev[m]
1776141362749216260 36.843843200 128.092673900 293.3530 0.014000 0.014000 0.016000
1776141363259191147 36.843841800 128.092674000 293.3810 0.014000 0.014000 0.015000
1776141363757732226 36.843840500 128.092674000 293.4210 0.014000 0.014000 0.013000
1776141364257071239 36.843839300 128.092673900 293.4210 0.014000 0.014000 0.014000
1776141364751096300 36.843838100 128.092673700 293.4480 0.014000 0.014000 0.013000
1776141365261091179 36.843836900 128.092673600 293.4790 0.014000 0.014000 0.013000
1776141365753136665 36.843835400 128.092673600 293.4800 0.014000 0.014000 0.014000
1776141366263589334 36.843834100 128.092673700 293.5200 0.014000 0.014000 0.014000
1776141366752091335 36.843832700 128.092673600 293.5690 0.014000 0.014000 0.014000
1776141367294683858 36.843831200 128.092673500 293.5920 0.014000 0.014000 0.014000
1776141367780089810 36.843829700 128.092673400 293.6600 0.014000 0.014000 0.013000
1776141368259507087 36.843828200 128.092673600 293.6800 0.014000 0.014000 0.014000
1776141368755617652 36.843826800 128.092673800 293.7030 0.014000 0.014000 0.013000
1776141369268839622 36.843825400 128.092673700 293.7040 0.014000 0.014000 0.014000
1776141369754598580 36.843823800 128.092673800 293.7350 0.014000 0.014000 0.016000
1776141370262109373 36.843822200 128.092673800 293.7760 0.014000 0.014000 0.017000
1776141370754639714 36.843820900 128.092673900 293.8150 0.014000 0.014000 0.016000
1776141371262015371 36.843819400 128.092673800 293.8480 0.014000 0.014000 0.015000
1776141371755618061 36.843817900 128.092673900 293.8800 0.014000 0.014000 0.015000
1776141372299712361 36.843816400 128.092673900 293.9290 0.014000 0.014000 0.016000
1776141372785639570 36.843814800 128.092674000 293.9460 0.014000 0.014000 0.017000
1776141373262630377 36.843813300 128.092673800 293.9900 0.014000 0.014000 0.016000
1776141373756642404 36.843811800 128.092673800 294.0000 0.014000 0.014000 0.015000
1776141374271600401 36.843810300 128.092674000 294.0470 0.014000 0.014000 0.014000
